algorithm,instance,dimension,iterations,seed,init,chains,threads,parallel,best_length,final_length,elapsed_ms,accepted_moves,improved_moves,cuda_mode,cuda_block_size,cuda_candidates_per_iter,cuda_reversal_mode,cuda_candidate_policy,log_file
qlsa-cuda-candidate-random,berlin52,52,300000,3,nn,64,128,cuda,7542,7542,829.158,1966343,905399,candidate,128,128,serial,random,results\logs\cuda_candidate\berlin52_qlsa_candidate_serial_random_b128_c128_20260622_220944_905443.log
qlsa-cuda-candidate,berlin52,52,300000,1,nn,64,128,cuda,7542,7542,1252.257,18108857,550817,candidate,128,128,parallel,best,results\logs\cuda_candidate\berlin52_qlsa_candidate_parallel_best_b128_c128_20260622_220947_507561.log
qlsa-cuda-candidate,berlin52,52,300000,2,nn,64,128,cuda,7542,7542,1259.714,18106798,556314,candidate,128,128,parallel,best,results\logs\cuda_candidate\berlin52_qlsa_candidate_parallel_best_b128_c128_20260622_220947_507561.log
qlsa-cuda-candidate,berlin52,52,300000,3,nn,64,128,cuda,7542,7542,1230.087,18109471,556748,candidate,128,128,parallel,best,results\logs\cuda_candidate\berlin52_qlsa_candidate_parallel_best_b128_c128_20260622_220947_507561.log
qlsa-cuda-candidate-random,berlin52,52,300000,1,nn,64,128,cuda,7542,7542,806.708,1965970,903484,candidate,128,128,parallel,random,results\logs\cuda_candidate\berlin52_qlsa_candidate_parallel_random_b128_c128_20260622_220951_370365.log
qlsa-cuda-candidate-random,berlin52,52,300000,2,nn,64,128,cuda,7542,7542,807.236,1970692,903540,candidate,128,128,parallel,random,results\logs\cuda_candidate\berlin52_qlsa_candidate_parallel_random_b128_c128_20260622_220951_370365.log
qlsa-cuda-candidate-random,berlin52,52,300000,3,nn,64,128,cuda,7542,7542,806.605,1966343,905399,candidate,128,128,parallel,random,results\logs\cuda_candidate\berlin52_qlsa_candidate_parallel_random_b128_c128_20260622_220951_370365.log
sa-cuda-chain,a280,280,300000,1,nn,64,128,cuda,2766,2766,369.693,3589584,1781360,chain,128,128,serial,,results\logs\cuda_candidate\a280_sa_chain_serial_best_b128_c128_20260622_220953_903240.log
sa-cuda-chain,a280,280,300000,2,nn,64,128,cuda,2785,2785,364.327,3592154,1781561,chain,128,128,serial,,results\logs\cuda_candidate\a280_sa_chain_serial_best_b128_c128_20260622_220953_903240.log
sa-cuda-chain,a280,280,300000,3,nn,64,128,cuda,2853,2853,366.831,3590417,1780390,chain,128,128,serial,,results\logs\cuda_candidate\a280_sa_chain_serial_best_b128_c128_20260622_220953_903240.log
sa-cuda-candidate,a280,280,300000,1,nn,64,128,cuda,2586,2586,919.813,6942874,2995779,candidate,128,128,serial,best,results\logs\cuda_candidate\a280_sa_candidate_serial_best_b128_c128_20260622_220955_130350.log
sa-cuda-candidate,a280,280,300000,2,nn,64,128,cuda,2581,2581,918.380,6924170,2992519,candidate,128,128,serial,best,results\logs\cuda_candidate\a280_sa_candidate_serial_best_b128_c128_20260622_220955_130350.log
sa-cuda-candidate,a280,280,300000,3,nn,64,128,cuda,2579,2579,904.810,6927497,2993548,candidate,128,128,serial,best,results\logs\cuda_candidate\a280_sa_candidate_serial_best_b128_c128_20260622_220955_130350.log
sa-cuda-candidate-random,a280,280,300000,1,nn,64,128,cuda,2812,2812,642.414,3591029,1781917,candidate,128,128,serial,random,results\logs\cuda_candidate\a280_sa_candidate_serial_random_b128_c128_20260622_220957_987247.log
sa-cuda-candidate-random,a280,280,300000,2,nn,64,128,cuda,2749,2749,641.479,3590912,1780691,candidate,128,128,serial,random,results\logs\cuda_candidate\a280_sa_candidate_serial_random_b128_c128_20260622_220957_987247.log
sa-cuda-candidate-random,a280,280,300000,3,nn,64,128,cuda,2788,2788,640.329,3589734,1780874,candidate,128,128,serial,random,results\logs\cuda_candidate\a280_sa_candidate_serial_random_b128_c128_20260622_220957_987247.log
sa-cuda-candidate,a280,280,300000,1,nn,64,128,cuda,2586,2586,864.122,6942874,2995779,candidate,128,128,parallel,best,results\logs\cuda_candidate\a280_sa_candidate_parallel_best_b128_c128_20260622_221000_033260.log
sa-cuda-candidate,a280,280,300000,2,nn,64,128,cuda,2581,2581,864.121,6924170,2992519,candidate,128,128,parallel,best,results\logs\cuda_candidate\a280_sa_candidate_parallel_best_b128_c128_20260622_221000_033260.log
sa-cuda-candidate,a280,280,300000,3,nn,64,128,cuda,2579,2579,863.431,6927497,2993548,candidate,128,128,parallel,best,results\logs\cuda_candidate\a280_sa_candidate_parallel_best_b128_c128_20260622_221000_033260.log
sa-cuda-candidate-random,a280,280,300000,1,nn,64,128,cuda,2812,2812,576.726,3591029,1781917,candidate,128,128,parallel,random,results\logs\cuda_candidate\a280_sa_candidate_parallel_random_b128_c128_20260622_221002_736804.log
