algorithm,instance,dimension,iterations,seed,init,chains,threads,parallel,best_length,final_length,elapsed_ms,accepted_moves,improved_moves,tier,status,log_file,error
sa-omp,gil262,262,1000000,1,nn,64,8,omp,2470,2470,380.470,12656572,6237147,L1,ok,results\logs\large_openmp\gil262_sa_20260621_182051_048384.log,
sa-omp,gil262,262,1000000,2,nn,64,8,omp,2480,2480,370.432,12648073,6228805,L1,ok,results\logs\large_openmp\gil262_sa_20260621_182051_048384.log,
sa-omp,gil262,262,1000000,3,nn,64,8,omp,2485,2485,375.742,12651122,6231636,L1,ok,results\logs\large_openmp\gil262_sa_20260621_182051_048384.log,
qlsa-omp,gil262,262,1000000,1,nn,64,8,omp,2469,2469,799.085,12836692,6254623,L1,ok,results\logs\large_openmp\gil262_qlsa_20260621_182052_185362.log,
qlsa-omp,gil262,262,1000000,2,nn,64,8,omp,2475,2475,661.476,12839979,6254545,L1,ok,results\logs\large_openmp\gil262_qlsa_20260621_182052_185362.log,
qlsa-omp,gil262,262,1000000,3,nn,64,8,omp,2479,2479,651.364,12828279,6255757,L1,ok,results\logs\large_openmp\gil262_qlsa_20260621_182052_185362.log,
sa-omp,a280,280,1000000,1,nn,64,8,omp,2734,2734,358.926,11797274,5815569,L1,ok,results\logs\large_openmp\a280_sa_20260621_182054_307415.log,
sa-omp,a280,280,1000000,2,nn,64,8,omp,2705,2705,371.183,11802226,5820084,L1,ok,results\logs\large_openmp\a280_sa_20260621_182054_307415.log,
sa-omp,a280,280,1000000,3,nn,64,8,omp,2697,2697,363.003,11797284,5816214,L1,ok,results\logs\large_openmp\a280_sa_20260621_182054_307415.log,
qlsa-omp,a280,280,1000000,1,nn,64,8,omp,2696,2696,823.429,11991303,5857813,L1,ok,results\logs\large_openmp\a280_qlsa_20260621_182055_414780.log,
qlsa-omp,a280,280,1000000,2,nn,64,8,omp,2692,2692,720.131,11999983,5857026,L1,ok,results\logs\large_openmp\a280_qlsa_20260621_182055_414780.log,
qlsa-omp,a280,280,1000000,3,nn,64,8,omp,2692,2692,678.486,12003203,5859038,L1,ok,results\logs\large_openmp\a280_qlsa_20260621_182055_414780.log,
