algorithm,instance,dimension,iterations,seed,init,chains,threads,parallel,best_length,final_length,elapsed_ms,accepted_moves,improved_moves,tier,status,log_file,error
qlsa-omp,rat575,575,1000000,2,nn,64,8,omp,7418,7418,736.645,9916199,4910319,L2,ok,results\logs\large_openmp\rat575_qlsa_20260622_203256_693493.log,
qlsa-omp,rat575,575,1000000,3,nn,64,8,omp,7451,7451,715.606,9916086,4908659,L2,ok,results\logs\large_openmp\rat575_qlsa_20260622_203256_693493.log,
sa-omp,rat783,783,1000000,1,nn,64,8,omp,10589,10589,465.587,9244894,4631088,L2,ok,results\logs\large_openmp\rat783_sa_20260622_203259_198461.log,
sa-omp,rat783,783,1000000,2,nn,64,8,omp,10490,10490,434.317,9246471,4629631,L2,ok,results\logs\large_openmp\rat783_sa_20260622_203259_198461.log,
sa-omp,rat783,783,1000000,3,nn,64,8,omp,10560,10560,465.361,9245989,4630578,L2,ok,results\logs\large_openmp\rat783_sa_20260622_203259_198461.log,
qlsa-omp,rat783,783,1000000,1,nn,64,8,omp,10124,10124,914.310,9322057,4648222,L2,ok,results\logs\large_openmp\rat783_qlsa_20260622_203300_593023.log,
qlsa-omp,rat783,783,1000000,2,nn,64,8,omp,10056,10056,940.554,9321546,4647580,L2,ok,results\logs\large_openmp\rat783_qlsa_20260622_203300_593023.log,
qlsa-omp,rat783,783,1000000,3,nn,64,8,omp,10105,10105,765.533,9324664,4648815,L2,ok,results\logs\large_openmp\rat783_qlsa_20260622_203300_593023.log,
sa-omp,rat99,99,1000000,1,nn,64,8,omp,1231,1231,378.531,13391178,6546813,custom,ok,results\logs\large_openmp\rat99_sa_20260622_203303_241625.log,
sa-omp,rat99,99,1000000,2,nn,64,8,omp,1220,1220,384.710,13390667,6549126,custom,ok,results\logs\large_openmp\rat99_sa_20260622_203303_241625.log,
sa-omp,rat99,99,1000000,3,nn,64,8,omp,1215,1215,361.555,13394172,6547279,custom,ok,results\logs\large_openmp\rat99_sa_20260622_203303_241625.log,
qlsa-omp,rat99,99,1000000,1,nn,64,8,omp,1227,1227,842.904,13743148,6598105,custom,ok,results\logs\large_openmp\rat99_qlsa_20260622_203304_397958.log,
qlsa-omp,rat99,99,1000000,2,nn,64,8,omp,1225,1228,844.096,13731675,6593106,custom,ok,results\logs\large_openmp\rat99_qlsa_20260622_203304_397958.log,
qlsa-omp,rat99,99,1000000,3,nn,64,8,omp,1227,1227,711.549,13728387,6596101,custom,ok,results\logs\large_openmp\rat99_qlsa_20260622_203304_397958.log,
sa-omp,rd400,400,1000000,1,nn,64,8,omp,16501,16501,387.516,5668445,2843659,L2,ok,results\logs\large_openmp\rd400_sa_20260622_203306_831246.log,
sa-omp,rd400,400,1000000,2,nn,64,8,omp,16264,16264,398.720,5668187,2842151,L2,ok,results\logs\large_openmp\rd400_sa_20260622_203306_831246.log,
sa-omp,rd400,400,1000000,3,nn,64,8,omp,16379,16379,389.883,5667419,2842124,L2,ok,results\logs\large_openmp\rd400_sa_20260622_203306_831246.log,
qlsa-omp,rd400,400,1000000,1,nn,64,8,omp,16296,16296,863.845,5809014,2869378,L2,ok,results\logs\large_openmp\rd400_qlsa_20260622_203308_023029.log,
qlsa-omp,rd400,400,1000000,2,nn,64,8,omp,16157,16157,944.241,5803840,2869178,L2,ok,results\logs\large_openmp\rd400_qlsa_20260622_203308_023029.log,
qlsa-omp,rd400,400,1000000,3,nn,64,8,omp,16190,16190,728.848,5798721,2866519,L2,ok,results\logs\large_openmp\rd400_qlsa_20260622_203308_023029.log,
sa-omp,st70,70,1000000,1,nn,64,8,omp,675,675,379.025,15652773,7576995,custom,ok,results\logs\large_openmp\st70_sa_20260622_203310_578970.log,
sa-omp,st70,70,1000000,2,nn,64,8,omp,675,675,385.225,15656891,7577177,custom,ok,results\logs\large_openmp\st70_sa_20260622_203310_578970.log,
sa-omp,st70,70,1000000,3,nn,64,8,omp,675,675,387.374,15658601,7576724,custom,ok,results\logs\large_openmp\st70_sa_20260622_203310_578970.log,
qlsa-omp,st70,70,1000000,1,nn,64,8,omp,675,675,821.189,16095623,7590410,custom,ok,results\logs\large_openmp\st70_qlsa_20260622_203311_752938.log,
qlsa-omp,st70,70,1000000,2,nn,64,8,omp,675,675,674.546,16105872,7597414,custom,ok,results\logs\large_openmp\st70_qlsa_20260622_203311_752938.log,
qlsa-omp,st70,70,1000000,3,nn,64,8,omp,675,675,681.571,16112113,7593231,custom,ok,results\logs\large_openmp\st70_qlsa_20260622_203311_752938.log,
sa-omp,swiss42,42,1000000,1,nn,64,8,omp,1273,1273,406.277,12380092,6011231,custom,ok,results\logs\large_openmp\swiss42_sa_20260622_203313_944475.log,
sa-omp,swiss42,42,1000000,2,nn,64,8,omp,1273,1273,378.955,12377047,6012865,custom,ok,results\logs\large_openmp\swiss42_sa_20260622_203313_944475.log,
sa-omp,swiss42,42,1000000,3,nn,64,8,omp,1273,1273,382.721,12376823,6009701,custom,ok,results\logs\large_openmp\swiss42_sa_20260622_203313_944475.log,
qlsa-omp,swiss42,42,1000000,1,nn,64,8,omp,1273,1273,950.017,12928653,5997434,custom,ok,results\logs\large_openmp\swiss42_qlsa_20260622_203315_133101.log,
qlsa-omp,swiss42,42,1000000,2,nn,64,8,omp,1273,1273,798.889,12917692,5994788,custom,ok,results\logs\large_openmp\swiss42_qlsa_20260622_203315_133101.log,
qlsa-omp,swiss42,42,1000000,3,nn,64,8,omp,1273,1273,652.709,12920414,5996677,custom,ok,results\logs\large_openmp\swiss42_qlsa_20260622_203315_133101.log,
sa-omp,tsp225,225,1000000,1,nn,64,8,omp,4078,4078,372.131,10073668,4986387,L1,ok,results\logs\large_openmp\tsp225_sa_20260622_203317_554792.log,
sa-omp,tsp225,225,1000000,2,nn,64,8,omp,4074,4074,407.423,10070979,4985554,L1,ok,results\logs\large_openmp\tsp225_sa_20260622_203317_554792.log,
sa-omp,tsp225,225,1000000,3,nn,64,8,omp,4070,4070,391.607,10074134,4988130,L1,ok,results\logs\large_openmp\tsp225_sa_20260622_203317_554792.log,
qlsa-omp,tsp225,225,1000000,1,nn,64,8,omp,4063,4063,878.546,10286649,5024503,L1,ok,results\logs\large_openmp\tsp225_qlsa_20260622_203318_740529.log,
qlsa-omp,tsp225,225,1000000,2,nn,64,8,omp,4080,4080,716.752,10288612,5024460,L1,ok,results\logs\large_openmp\tsp225_qlsa_20260622_203318_740529.log,
qlsa-omp,tsp225,225,1000000,3,nn,64,8,omp,4070,4070,725.974,10276664,5025409,L1,ok,results\logs\large_openmp\tsp225_qlsa_20260622_203318_740529.log,
sa-omp,u1060,1060,1000000,1,nn,64,8,omp,287555,287555,427.464,377301,227879,L3,ok,results\logs\large_openmp\u1060_sa_20260622_203321_071284.log,
sa-omp,u1060,1060,1000000,2,nn,64,8,omp,287833,287833,426.327,376531,227384,L3,ok,results\logs\large_openmp\u1060_sa_20260622_203321_071284.log,
sa-omp,u1060,1060,1000000,3,nn,64,8,omp,286004,286004,453.159,376469,227427,L3,ok,results\logs\large_openmp\u1060_sa_20260622_203321_071284.log,
qlsa-omp,u1060,1060,1000000,1,nn,64,8,omp,269011,269011,1013.160,522661,292647,L3,ok,results\logs\large_openmp\u1060_qlsa_20260622_203322_393135.log,
qlsa-omp,u1060,1060,1000000,2,nn,64,8,omp,267347,267347,880.087,521373,292992,L3,ok,results\logs\large_openmp\u1060_qlsa_20260622_203322_393135.log,
qlsa-omp,u1060,1060,1000000,3,nn,64,8,omp,267647,267647,832.152,521079,293680,L3,ok,results\logs\large_openmp\u1060_qlsa_20260622_203322_393135.log,
sa-omp,u574,574,1000000,1,nn,64,8,omp,40821,40821,386.241,3001276,1530258,L2,ok,results\logs\large_openmp\u574_sa_20260622_203325_132812.log,
sa-omp,u574,574,1000000,2,nn,64,8,omp,40885,40885,400.424,3000104,1530003,L2,ok,results\logs\large_openmp\u574_sa_20260622_203325_132812.log,
sa-omp,u574,574,1000000,3,nn,64,8,omp,40610,40610,380.773,3002142,1530444,L2,ok,results\logs\large_openmp\u574_sa_20260622_203325_132812.log,
qlsa-omp,u574,574,1000000,1,nn,64,8,omp,40574,40574,796.523,3107897,1557544,L2,ok,results\logs\large_openmp\u574_qlsa_20260622_203326_312072.log,
qlsa-omp,u574,574,1000000,2,nn,64,8,omp,40037,40037,675.651,3108566,1559052,L2,ok,results\logs\large_openmp\u574_qlsa_20260622_203326_312072.log,
qlsa-omp,u574,574,1000000,3,nn,64,8,omp,40220,40220,662.765,3117915,1559950,L2,ok,results\logs\large_openmp\u574_qlsa_20260622_203326_312072.log,
sa-omp,u724,724,1000000,1,nn,64,8,omp,48594,48594,396.912,2962308,1521247,L2,ok,results\logs\large_openmp\u724_sa_20260622_203328_460729.log,
sa-omp,u724,724,1000000,2,nn,64,8,omp,48401,48401,396.525,2965334,1523327,L2,ok,results\logs\large_openmp\u724_sa_20260622_203328_460729.log,
sa-omp,u724,724,1000000,3,nn,64,8,omp,48188,48188,411.017,2965974,1524595,L2,ok,results\logs\large_openmp\u724_sa_20260622_203328_460729.log,
qlsa-omp,u724,724,1000000,1,nn,64,8,omp,47301,47301,1006.865,3056405,1548922,L2,ok,results\logs\large_openmp\u724_qlsa_20260622_203329_677851.log,
qlsa-omp,u724,724,1000000,2,nn,64,8,omp,47078,47078,930.203,3054942,1546353,L2,ok,results\logs\large_openmp\u724_qlsa_20260622_203329_677851.log,
qlsa-omp,u724,724,1000000,3,nn,64,8,omp,46922,46922,876.442,3049719,1545330,L2,ok,results\logs\large_openmp\u724_qlsa_20260622_203329_677851.log,
sa-omp,ulysses16.tsp,16,1000000,1,nn,64,8,omp,6859,6859,378.410,6191002,2549313,custom,ok,results\logs\large_openmp\ulysses16_sa_20260622_203332_509260.log,
sa-omp,ulysses16.tsp,16,1000000,2,nn,64,8,omp,6859,6859,370.402,6200957,2556961,custom,ok,results\logs\large_openmp\ulysses16_sa_20260622_203332_509260.log,
sa-omp,ulysses16.tsp,16,1000000,3,nn,64,8,omp,6859,6870,357.716,6196068,2551014,custom,ok,results\logs\large_openmp\ulysses16_sa_20260622_203332_509260.log,
qlsa-omp,ulysses16.tsp,16,1000000,1,nn,64,8,omp,6859,6870,872.394,6987024,2615005,custom,ok,results\logs\large_openmp\ulysses16_qlsa_20260622_203333_637986.log,
qlsa-omp,ulysses16.tsp,16,1000000,2,nn,64,8,omp,6859,6870,704.366,6989697,2616766,custom,ok,results\logs\large_openmp\ulysses16_qlsa_20260622_203333_637986.log,
qlsa-omp,ulysses16.tsp,16,1000000,3,nn,64,8,omp,6859,6859,681.538,6991294,2614058,custom,ok,results\logs\large_openmp\ulysses16_qlsa_20260622_203333_637986.log,
sa-omp,ulysses22.tsp,22,1000000,1,nn,64,8,omp,7013,7013,366.802,5594489,2509114,custom,ok,results\logs\large_openmp\ulysses22_sa_20260622_203335_905563.log,
sa-omp,ulysses22.tsp,22,1000000,2,nn,64,8,omp,7013,7013,361.169,5592082,2506844,custom,ok,results\logs\large_openmp\ulysses22_sa_20260622_203335_905563.log,
sa-omp,ulysses22.tsp,22,1000000,3,nn,64,8,omp,7013,7013,348.738,5595816,2506807,custom,ok,results\logs\large_openmp\ulysses22_sa_20260622_203335_905563.log,
qlsa-omp,ulysses22.tsp,22,1000000,1,nn,64,8,omp,7013,7013,777.508,6540051,2618725,custom,ok,results\logs\large_openmp\ulysses22_qlsa_20260622_203336_995371.log,
qlsa-omp,ulysses22.tsp,22,1000000,2,nn,64,8,omp,7013,7013,718.843,6540337,2616483,custom,ok,results\logs\large_openmp\ulysses22_qlsa_20260622_203336_995371.log,
qlsa-omp,ulysses22.tsp,22,1000000,3,nn,64,8,omp,7013,7013,699.417,6555449,2617141,custom,ok,results\logs\large_openmp\ulysses22_qlsa_20260622_203336_995371.log,
sa-omp,vm1084,1084,1000000,1,nn,64,8,omp,301120,319811,459.185,271194,154327,L3,ok,results\logs\large_openmp\vm1084_sa_20260622_203339_204326.log,
sa-omp,vm1084,1084,1000000,2,nn,64,8,omp,299804,317206,453.248,269018,153325,L3,ok,results\logs\large_openmp\vm1084_sa_20260622_203339_204326.log,
sa-omp,vm1084,1084,1000000,3,nn,64,8,omp,301095,313415,460.036,270335,153719,L3,ok,results\logs\large_openmp\vm1084_sa_20260622_203339_204326.log,
qlsa-omp,vm1084,1084,1000000,1,nn,64,8,omp,284267,284267,964.822,409168,214336,L3,ok,results\logs\large_openmp\vm1084_qlsa_20260622_203340_594944.log,
qlsa-omp,vm1084,1084,1000000,2,nn,64,8,omp,287204,287204,871.098,411981,214403,L3,ok,results\logs\large_openmp\vm1084_qlsa_20260622_203340_594944.log,
qlsa-omp,vm1084,1084,1000000,3,nn,64,8,omp,283661,283661,800.913,406806,212326,L3,ok,results\logs\large_openmp\vm1084_qlsa_20260622_203340_594944.log,
