algorithm,instance,dimension,iterations,seed,init,chains,threads,parallel,best_length,final_length,elapsed_ms,accepted_moves,improved_moves,tier,status,log_file,error
sa-omp,ch150,150,1000000,1,nn,64,8,omp,6646,6646,364.144,7141363,3549535,L1,ok,results\logs\large_openmp\ch150_sa_20260622_203146_118778.log,
sa-omp,ch150,150,1000000,2,nn,64,8,omp,6655,6655,363.092,7142305,3550324,L1,ok,results\logs\large_openmp\ch150_sa_20260622_203146_118778.log,
sa-omp,ch150,150,1000000,3,nn,64,8,omp,6611,6611,352.194,7148870,3555784,L1,ok,results\logs\large_openmp\ch150_sa_20260622_203146_118778.log,
qlsa-omp,ch150,150,1000000,1,nn,64,8,omp,6586,6586,804.904,7406252,3591549,L1,ok,results\logs\large_openmp\ch150_qlsa_20260622_203147_277492.log,
qlsa-omp,ch150,150,1000000,2,nn,64,8,omp,6620,6620,780.559,7397298,3592213,L1,ok,results\logs\large_openmp\ch150_qlsa_20260622_203147_277492.log,
qlsa-omp,ch150,150,1000000,3,nn,64,8,omp,6640,6640,647.808,7412660,3593684,L1,ok,results\logs\large_openmp\ch150_qlsa_20260622_203147_277492.log,
sa-omp,d198,198,1000000,1,nn,64,8,omp,15990,15990,362.646,4565289,2261906,L1,ok,results\logs\large_openmp\d198_sa_20260622_203149_523550.log,
sa-omp,d198,198,1000000,2,nn,64,8,omp,15976,15976,362.894,4562576,2260853,L1,ok,results\logs\large_openmp\d198_sa_20260622_203149_523550.log,
sa-omp,d198,198,1000000,3,nn,64,8,omp,15972,15972,353.524,4564328,2261123,L1,ok,results\logs\large_openmp\d198_sa_20260622_203149_523550.log,
qlsa-omp,d198,198,1000000,1,nn,64,8,omp,15897,15897,948.621,5093799,2451229,L1,ok,results\logs\large_openmp\d198_qlsa_20260622_203150_683964.log,
qlsa-omp,d198,198,1000000,2,nn,64,8,omp,16023,16023,872.737,5088086,2451406,L1,ok,results\logs\large_openmp\d198_qlsa_20260622_203150_683964.log,
qlsa-omp,d198,198,1000000,3,nn,64,8,omp,15942,15942,689.606,5115272,2450672,L1,ok,results\logs\large_openmp\d198_qlsa_20260622_203150_683964.log,
sa-omp,d493,493,1000000,1,nn,64,8,omp,37677,37677,387.785,4319204,2176181,L2,ok,results\logs\large_openmp\d493_sa_20260622_203153_206299.log,
sa-omp,d493,493,1000000,2,nn,64,8,omp,37864,37864,382.362,4316094,2173274,L2,ok,results\logs\large_openmp\d493_sa_20260622_203153_206299.log,
sa-omp,d493,493,1000000,3,nn,64,8,omp,37606,37606,374.855,4318663,2176256,L2,ok,results\logs\large_openmp\d493_sa_20260622_203153_206299.log,
qlsa-omp,d493,493,1000000,1,nn,64,8,omp,37691,37691,918.782,4499576,2233531,L2,ok,results\logs\large_openmp\d493_qlsa_20260622_203154_438047.log,
qlsa-omp,d493,493,1000000,2,nn,64,8,omp,37571,37571,891.064,4500772,2230469,L2,ok,results\logs\large_openmp\d493_qlsa_20260622_203154_438047.log,
qlsa-omp,d493,493,1000000,3,nn,64,8,omp,37585,37585,754.081,4509518,2231301,L2,ok,results\logs\large_openmp\d493_qlsa_20260622_203154_438047.log,
sa-omp,d657,657,1000000,1,nn,64,8,omp,54922,54922,424.960,2702840,1386265,L2,ok,results\logs\large_openmp\d657_sa_20260622_203157_016705.log,
sa-omp,d657,657,1000000,2,nn,64,8,omp,54293,54293,408.530,2709454,1391631,L2,ok,results\logs\large_openmp\d657_sa_20260622_203157_016705.log,
sa-omp,d657,657,1000000,3,nn,64,8,omp,54806,54806,403.770,2703221,1389225,L2,ok,results\logs\large_openmp\d657_sa_20260622_203157_016705.log,
qlsa-omp,d657,657,1000000,1,nn,64,8,omp,54372,54372,906.003,2798982,1411172,L2,ok,results\logs\large_openmp\d657_qlsa_20260622_203158_353409.log,
qlsa-omp,d657,657,1000000,2,nn,64,8,omp,53708,53708,820.417,2799565,1412034,L2,ok,results\logs\large_openmp\d657_qlsa_20260622_203158_353409.log,
qlsa-omp,d657,657,1000000,3,nn,64,8,omp,53720,53720,758.388,2797767,1410014,L2,ok,results\logs\large_openmp\d657_qlsa_20260622_203158_353409.log,
sa-omp,dantzig42,42,1000000,1,nn,64,8,omp,699,701,369.270,14230301,6828085,custom,ok,results\logs\large_openmp\dantzig42_sa_20260622_203200_920684.log,
sa-omp,dantzig42,42,1000000,2,nn,64,8,omp,699,699,360.661,14227247,6830174,custom,ok,results\logs\large_openmp\dantzig42_sa_20260622_203200_920684.log,
sa-omp,dantzig42,42,1000000,3,nn,64,8,omp,699,707,360.739,14236117,6829120,custom,ok,results\logs\large_openmp\dantzig42_sa_20260622_203200_920684.log,
qlsa-omp,dantzig42,42,1000000,1,nn,64,8,omp,699,701,871.285,14789981,6830294,custom,ok,results\logs\large_openmp\dantzig42_qlsa_20260622_203202_100891.log,
qlsa-omp,dantzig42,42,1000000,2,nn,64,8,omp,699,699,789.103,14792947,6829429,custom,ok,results\logs\large_openmp\dantzig42_qlsa_20260622_203202_100891.log,
qlsa-omp,dantzig42,42,1000000,3,nn,64,8,omp,699,699,704.144,14800231,6830841,custom,ok,results\logs\large_openmp\dantzig42_qlsa_20260622_203202_100891.log,
sa-omp,dsj1000,1000,1000000,1,nn,64,8,omp,20783649,20783649,484.700,21035,20284,L3,ok,results\logs\large_openmp\dsj1000_sa_20260622_203204_479729.log,
sa-omp,dsj1000,1000,1000000,2,nn,64,8,omp,20720629,20720629,479.515,20877,20151,L3,ok,results\logs\large_openmp\dsj1000_sa_20260622_203204_479729.log,
sa-omp,dsj1000,1000,1000000,3,nn,64,8,omp,20587788,20587788,480.778,20995,20252,L3,ok,results\logs\large_openmp\dsj1000_sa_20260622_203204_479729.log,
qlsa-omp,dsj1000,1000,1000000,1,nn,64,8,omp,20650478,20650478,1069.407,44406,22261,L3,ok,results\logs\large_openmp\dsj1000_qlsa_20260622_203206_017586.log,
qlsa-omp,dsj1000,1000,1000000,2,nn,64,8,omp,20607936,20607936,882.590,45820,21996,L3,ok,results\logs\large_openmp\dsj1000_qlsa_20260622_203206_017586.log,
qlsa-omp,dsj1000,1000,1000000,3,nn,64,8,omp,20404246,20404246,808.866,45731,21916,L3,ok,results\logs\large_openmp\dsj1000_qlsa_20260622_203206_017586.log,
sa-omp,eil101,101,1000000,1,nn,64,8,omp,636,636,379.563,17753712,8532903,custom,ok,results\logs\large_openmp\eil101_sa_20260622_203208_868697.log,
sa-omp,eil101,101,1000000,2,nn,64,8,omp,635,635,381.303,17760044,8539799,custom,ok,results\logs\large_openmp\eil101_sa_20260622_203208_868697.log,
sa-omp,eil101,101,1000000,3,nn,64,8,omp,640,640,362.789,17755671,8538336,custom,ok,results\logs\large_openmp\eil101_sa_20260622_203208_868697.log,
qlsa-omp,eil101,101,1000000,1,nn,64,8,omp,638,638,884.417,18085462,8539098,custom,ok,results\logs\large_openmp\eil101_qlsa_20260622_203210_074802.log,
qlsa-omp,eil101,101,1000000,2,nn,64,8,omp,638,638,822.501,18087706,8538634,custom,ok,results\logs\large_openmp\eil101_qlsa_20260622_203210_074802.log,
qlsa-omp,eil101,101,1000000,3,nn,64,8,omp,637,637,721.285,18075510,8535986,custom,ok,results\logs\large_openmp\eil101_qlsa_20260622_203210_074802.log,
sa-omp,eil51,51,1000000,1,nn,64,8,omp,427,427,393.605,17995875,8657793,custom,ok,results\logs\large_openmp\eil51_sa_20260622_203212_634802.log,
sa-omp,eil51,51,1000000,2,nn,64,8,omp,426,426,394.432,17999169,8657469,custom,ok,results\logs\large_openmp\eil51_sa_20260622_203212_634802.log,
sa-omp,eil51,51,1000000,3,nn,64,8,omp,426,426,389.683,18001734,8658756,custom,ok,results\logs\large_openmp\eil51_sa_20260622_203212_634802.log,
qlsa-omp,eil51,51,1000000,1,nn,64,8,omp,427,429,897.815,18421678,8591497,custom,ok,results\logs\large_openmp\eil51_qlsa_20260622_203213_887414.log,
qlsa-omp,eil51,51,1000000,2,nn,64,8,omp,427,427,701.431,18412933,8591928,custom,ok,results\logs\large_openmp\eil51_qlsa_20260622_203213_887414.log,
qlsa-omp,eil51,51,1000000,3,nn,64,8,omp,426,427,648.993,18421748,8590624,custom,ok,results\logs\large_openmp\eil51_qlsa_20260622_203213_887414.log,
sa-omp,eil76,76,1000000,1,nn,64,8,omp,539,539,372.597,17882241,8602742,custom,ok,results\logs\large_openmp\eil76_sa_20260622_203216_176977.log,
sa-omp,eil76,76,1000000,2,nn,64,8,omp,539,539,380.728,17875537,8602463,custom,ok,results\logs\large_openmp\eil76_sa_20260622_203216_176977.log,
sa-omp,eil76,76,1000000,3,nn,64,8,omp,539,539,381.661,17867682,8595553,custom,ok,results\logs\large_openmp\eil76_sa_20260622_203216_176977.log,
qlsa-omp,eil76,76,1000000,1,nn,64,8,omp,544,544,919.884,18220954,8569816,custom,ok,results\logs\large_openmp\eil76_qlsa_20260622_203217_393452.log,
qlsa-omp,eil76,76,1000000,2,nn,64,8,omp,542,543,750.638,18221439,8571544,custom,ok,results\logs\large_openmp\eil76_qlsa_20260622_203217_393452.log,
qlsa-omp,eil76,76,1000000,3,nn,64,8,omp,539,539,753.800,18224099,8575312,custom,ok,results\logs\large_openmp\eil76_qlsa_20260622_203217_393452.log,
sa-omp,gil262,262,1000000,1,nn,64,8,omp,2470,2470,446.890,12656572,6237147,L1,ok,results\logs\large_openmp\gil262_sa_20260622_203219_831305.log,
sa-omp,gil262,262,1000000,2,nn,64,8,omp,2480,2480,401.806,12648073,6228805,L1,ok,results\logs\large_openmp\gil262_sa_20260622_203219_831305.log,
sa-omp,gil262,262,1000000,3,nn,64,8,omp,2485,2485,386.139,12651122,6231636,L1,ok,results\logs\large_openmp\gil262_sa_20260622_203219_831305.log,
qlsa-omp,gil262,262,1000000,1,nn,64,8,omp,2469,2469,837.237,12836692,6254623,L1,ok,results\logs\large_openmp\gil262_qlsa_20260622_203221_150835.log,
qlsa-omp,gil262,262,1000000,2,nn,64,8,omp,2475,2475,812.001,12839979,6254545,L1,ok,results\logs\large_openmp\gil262_qlsa_20260622_203221_150835.log,
qlsa-omp,gil262,262,1000000,3,nn,64,8,omp,2479,2479,690.132,12828279,6255757,L1,ok,results\logs\large_openmp\gil262_qlsa_20260622_203221_150835.log,
sa-omp,gr17,17,1000000,1,nn,64,8,omp,2085,2085,382.255,9726929,3907881,custom,ok,results\logs\large_openmp\gr17_sa_20260622_203223_575136.log,
sa-omp,gr17,17,1000000,2,nn,64,8,omp,2085,2085,380.020,9725262,3909043,custom,ok,results\logs\large_openmp\gr17_sa_20260622_203223_575136.log,
sa-omp,gr17,17,1000000,3,nn,64,8,omp,2085,2085,370.674,9729054,3908858,custom,ok,results\logs\large_openmp\gr17_sa_20260622_203223_575136.log,
qlsa-omp,gr17,17,1000000,1,nn,64,8,omp,2085,2085,756.207,10951349,3862875,custom,ok,results\logs\large_openmp\gr17_qlsa_20260622_203224_797823.log,
qlsa-omp,gr17,17,1000000,2,nn,64,8,omp,2085,2085,857.666,10966688,3862430,custom,ok,results\logs\large_openmp\gr17_qlsa_20260622_203224_797823.log,
qlsa-omp,gr17,17,1000000,3,nn,64,8,omp,2085,2090,652.877,11003811,3855951,custom,ok,results\logs\large_openmp\gr17_qlsa_20260622_203224_797823.log,
sa-omp,gr24,24,1000000,1,nn,64,8,omp,1272,1272,384.228,11638351,5170095,custom,ok,results\logs\large_openmp\gr24_sa_20260622_203227_074743.log,
sa-omp,gr24,24,1000000,2,nn,64,8,omp,1272,1279,387.511,11647419,5169428,custom,ok,results\logs\large_openmp\gr24_sa_20260622_203227_074743.log,
sa-omp,gr24,24,1000000,3,nn,64,8,omp,1272,1272,369.594,11639057,5173354,custom,ok,results\logs\large_openmp\gr24_sa_20260622_203227_074743.log,
qlsa-omp,gr24,24,1000000,1,nn,64,8,omp,1272,1272,843.280,12466137,5153640,custom,ok,results\logs\large_openmp\gr24_qlsa_20260622_203228_251715.log,
qlsa-omp,gr24,24,1000000,2,nn,64,8,omp,1272,1272,908.523,12471135,5155970,custom,ok,results\logs\large_openmp\gr24_qlsa_20260622_203228_251715.log,
qlsa-omp,gr24,24,1000000,3,nn,64,8,omp,1272,1272,653.100,12474842,5154338,custom,ok,results\logs\large_openmp\gr24_qlsa_20260622_203228_251715.log,
sa-omp,gr48,48,1000000,1,nn,64,8,omp,5046,5046,360.960,6522025,2967904,custom,ok,results\logs\large_openmp\gr48_sa_20260622_203230_749256.log,
sa-omp,gr48,48,1000000,2,nn,64,8,omp,5046,5046,351.276,6521404,2969719,custom,ok,results\logs\large_openmp\gr48_sa_20260622_203230_749256.log,
sa-omp,gr48,48,1000000,3,nn,64,8,omp,5046,5046,370.751,6517457,2966507,custom,ok,results\logs\large_openmp\gr48_sa_20260622_203230_749256.log,
qlsa-omp,gr48,48,1000000,1,nn,64,8,omp,5046,5055,789.094,7027481,3050679,custom,ok,results\logs\large_openmp\gr48_qlsa_20260622_203231_944624.log,
qlsa-omp,gr48,48,1000000,2,nn,64,8,omp,5046,5046,779.490,7027535,3049115,custom,ok,results\logs\large_openmp\gr48_qlsa_20260622_203231_944624.log,
qlsa-omp,gr48,48,1000000,3,nn,64,8,omp,5046,5046,636.117,7021406,3041333,custom,ok,results\logs\large_openmp\gr48_qlsa_20260622_203231_944624.log,
sa-omp,hk48,48,1000000,1,nn,64,8,omp,11461,11461,381.117,3558111,1719764,custom,ok,results\logs\large_openmp\hk48_sa_20260622_203234_176967.log,
sa-omp,hk48,48,1000000,2,nn,64,8,omp,11461,11461,362.545,3558048,1720046,custom,ok,results\logs\large_openmp\hk48_sa_20260622_203234_176967.log,
sa-omp,hk48,48,1000000,3,nn,64,8,omp,11461,11461,371.021,3553675,1716605,custom,ok,results\logs\large_openmp\hk48_sa_20260622_203234_176967.log,
qlsa-omp,hk48,48,1000000,1,nn,64,8,omp,11461,11553,824.165,4026611,1819766,custom,ok,results\logs\large_openmp\hk48_qlsa_20260622_203235_347136.log,
qlsa-omp,hk48,48,1000000,2,nn,64,8,omp,11461,11461,841.224,4030363,1821799,custom,ok,results\logs\large_openmp\hk48_qlsa_20260622_203235_347136.log,
qlsa-omp,hk48,48,1000000,3,nn,64,8,omp,11461,11484,647.491,4031430,1823887,custom,ok,results\logs\large_openmp\hk48_qlsa_20260622_203235_347136.log,
sa-omp,kroA150,150,1000000,1,nn,64,8,omp,26949,26949,360.163,1922157,957366,L1,ok,results\logs\large_openmp\kroA150_sa_20260622_203237_775724.log,
sa-omp,kroA150,150,1000000,2,nn,64,8,omp,26879,26879,356.408,1922064,957057,L1,ok,results\logs\large_openmp\kroA150_sa_20260622_203237_775724.log,
sa-omp,kroA150,150,1000000,3,nn,64,8,omp,26985,26985,361.332,1918839,956457,L1,ok,results\logs\large_openmp\kroA150_sa_20260622_203237_775724.log,
qlsa-omp,kroA150,150,1000000,1,nn,64,8,omp,26918,26918,728.173,2220709,1055314,L1,ok,results\logs\large_openmp\kroA150_qlsa_20260622_203238_951883.log,
