algorithm,instance,dimension,iterations,seed,init,chains,threads,parallel,best_length,final_length,elapsed_ms,accepted_moves,improved_moves,cuda_mode,cuda_block_size,cuda_candidates_per_iter,cuda_reversal_mode,log_file
sa-cuda-candidate,eil101,101,500000,1,nn,64,128,cuda,629,629,1362.227,15968532,5508102,candidate,128,128,parallel,results\logs\cuda_candidate\eil101_sa_candidate_parallel_b128_c128_20260622_045814_224954.log
sa-cuda-candidate,eil101,101,500000,2,nn,64,128,cuda,629,629,1358.833,15951619,5507331,candidate,128,128,parallel,results\logs\cuda_candidate\eil101_sa_candidate_parallel_b128_c128_20260622_045814_224954.log
sa-cuda-candidate,eil101,101,500000,3,nn,64,128,cuda,629,629,1382.846,15981437,5503662,candidate,128,128,parallel,results\logs\cuda_candidate\eil101_sa_candidate_parallel_b128_c128_20260622_045814_224954.log
qlsa-cuda-chain,eil101,101,500000,1,nn,64,128,cuda,637,637,1036.021,9053356,4277969,chain,128,128,serial,results\logs\cuda_candidate\eil101_qlsa_chain_serial_b128_c128_20260622_045818_445291.log
qlsa-cuda-chain,eil101,101,500000,2,nn,64,128,cuda,642,642,1118.682,9051178,4276463,chain,128,128,serial,results\logs\cuda_candidate\eil101_qlsa_chain_serial_b128_c128_20260622_045818_445291.log
qlsa-cuda-chain,eil101,101,500000,3,nn,64,128,cuda,641,641,1065.471,9045903,4275731,chain,128,128,serial,results\logs\cuda_candidate\eil101_qlsa_chain_serial_b128_c128_20260622_045818_445291.log
qlsa-cuda-candidate,eil101,101,500000,1,nn,64,128,cuda,629,629,2569.605,29872681,2171362,candidate,128,128,serial,results\logs\cuda_candidate\eil101_qlsa_candidate_serial_b128_c128_20260622_045821_782325.log
qlsa-cuda-candidate,eil101,101,500000,2,nn,64,128,cuda,629,629,2549.792,29870708,2177736,candidate,128,128,serial,results\logs\cuda_candidate\eil101_qlsa_candidate_serial_b128_c128_20260622_045821_782325.log
qlsa-cuda-candidate,eil101,101,500000,3,nn,64,128,cuda,629,629,2640.596,29858272,2170602,candidate,128,128,serial,results\logs\cuda_candidate\eil101_qlsa_candidate_serial_b128_c128_20260622_045821_782325.log
qlsa-cuda-candidate,eil101,101,500000,1,nn,64,128,cuda,629,629,2033.432,29872681,2171362,candidate,128,128,parallel,results\logs\cuda_candidate\eil101_qlsa_candidate_parallel_b128_c128_20260622_045829_654668.log
qlsa-cuda-candidate,eil101,101,500000,2,nn,64,128,cuda,629,629,2189.888,29870708,2177736,candidate,128,128,parallel,results\logs\cuda_candidate\eil101_qlsa_candidate_parallel_b128_c128_20260622_045829_654668.log
qlsa-cuda-candidate,eil101,101,500000,3,nn,64,128,cuda,629,629,1994.377,29858272,2170602,candidate,128,128,parallel,results\logs\cuda_candidate\eil101_qlsa_candidate_parallel_b128_c128_20260622_045829_654668.log
sa-cuda-chain,ch130,130,500000,1,nn,64,128,cuda,6233,6233,530.735,3626647,1801700,chain,128,128,serial,results\logs\cuda_candidate\ch130_sa_chain_serial_b128_c128_20260622_045835_998772.log
sa-cuda-chain,ch130,130,500000,2,nn,64,128,cuda,6219,6219,532.129,3627046,1801371,chain,128,128,serial,results\logs\cuda_candidate\ch130_sa_chain_serial_b128_c128_20260622_045835_998772.log
sa-cuda-chain,ch130,130,500000,3,nn,64,128,cuda,6176,6176,529.369,3628129,1801633,chain,128,128,serial,results\logs\cuda_candidate\ch130_sa_chain_serial_b128_c128_20260622_045835_998772.log
sa-cuda-candidate,ch130,130,500000,1,nn,64,128,cuda,6110,6110,1397.897,10169676,4460170,candidate,128,128,serial,results\logs\cuda_candidate\ch130_sa_candidate_serial_b128_c128_20260622_045837_708036.log
sa-cuda-candidate,ch130,130,500000,2,nn,64,128,cuda,6110,6110,1407.733,10188214,4463427,candidate,128,128,serial,results\logs\cuda_candidate\ch130_sa_candidate_serial_b128_c128_20260622_045837_708036.log
sa-cuda-candidate,ch130,130,500000,3,nn,64,128,cuda,6110,6113,1410.686,10181848,4453958,candidate,128,128,serial,results\logs\cuda_candidate\ch130_sa_candidate_serial_b128_c128_20260622_045837_708036.log
sa-cuda-candidate,ch130,130,500000,1,nn,64,128,cuda,6110,6110,1361.026,10169676,4460170,candidate,128,128,parallel,results\logs\cuda_candidate\ch130_sa_candidate_parallel_b128_c128_20260622_045842_033475.log
sa-cuda-candidate,ch130,130,500000,2,nn,64,128,cuda,6110,6110,1367.393,10188214,4463427,candidate,128,128,parallel,results\logs\cuda_candidate\ch130_sa_candidate_parallel_b128_c128_20260622_045842_033475.log
sa-cuda-candidate,ch130,130,500000,3,nn,64,128,cuda,6110,6113,1363.542,10181848,4453958,candidate,128,128,parallel,results\logs\cuda_candidate\ch130_sa_candidate_parallel_b128_c128_20260622_045842_033475.log
