algorithm,instance,dimension,iterations,seed,init,chains,threads,parallel,best_length,final_length,elapsed_ms,accepted_moves,improved_moves,t0,tf,alpha,gamma,epsilon,policy,tuning_stage,fallback
sa-omp,eil76,76,2000000,2,nn,32,8,omp,539,539,345.596,9987654,4769837,300,1e-05,,,,,sa-grid,0
sa-omp,eil76,76,2000000,3,nn,32,8,omp,540,540,347.314,9982820,4773255,300,1e-05,,,,,sa-grid,0
sa-omp,eil76,76,2000000,1,nn,32,8,omp,538,538,352.769,17876091,8593381,1000,0.001,,,,,sa-grid,0
sa-omp,eil76,76,2000000,2,nn,32,8,omp,539,539,368.674,17872853,8596245,1000,0.001,,,,,sa-grid,0
sa-omp,eil76,76,2000000,3,nn,32,8,omp,539,539,377.683,17877568,8598418,1000,0.001,,,,,sa-grid,0
sa-omp,eil76,76,2000000,1,nn,32,8,omp,539,546,388.609,15333987,7368190,1000,0.0001,,,,,sa-grid,0
sa-omp,eil76,76,2000000,2,nn,32,8,omp,538,538,365.286,15337201,7370530,1000,0.0001,,,,,sa-grid,0
sa-omp,eil76,76,2000000,3,nn,32,8,omp,538,538,377.760,15337027,7371310,1000,0.0001,,,,,sa-grid,0
sa-omp,eil76,76,2000000,1,nn,32,8,omp,541,541,375.695,13428401,6446834,1000,1e-05,,,,,sa-grid,0
sa-omp,eil76,76,2000000,2,nn,32,8,omp,540,540,365.740,13435421,6446262,1000,1e-05,,,,,sa-grid,0
sa-omp,eil76,76,2000000,3,nn,32,8,omp,544,544,381.368,13435312,6447193,1000,1e-05,,,,,sa-grid,0
sa-omp,eil76,76,2000000,1,nn,32,8,omp,539,539,380.979,21245965,10237859,3000,0.001,,,,,sa-grid,0
sa-omp,eil76,76,2000000,2,nn,32,8,omp,541,541,391.788,21247151,10235535,3000,0.001,,,,,sa-grid,0
sa-omp,eil76,76,2000000,3,nn,32,8,omp,541,541,382.240,21244452,10239377,3000,0.001,,,,,sa-grid,0
sa-omp,eil76,76,2000000,1,nn,32,8,omp,541,541,373.929,18421789,8870477,3000,0.0001,,,,,sa-grid,0
sa-omp,eil76,76,2000000,2,nn,32,8,omp,541,541,363.755,18420733,8871609,3000,0.0001,,,,,sa-grid,0
sa-omp,eil76,76,2000000,3,nn,32,8,omp,542,543,365.348,18416018,8867020,3000,0.0001,,,,,sa-grid,0
sa-omp,eil76,76,2000000,1,nn,32,8,omp,541,541,366.769,16262942,7823114,3000,1e-05,,,,,sa-grid,0
sa-omp,eil76,76,2000000,2,nn,32,8,omp,541,543,368.377,16250585,7821439,3000,1e-05,,,,,sa-grid,0
sa-omp,eil76,76,2000000,3,nn,32,8,omp,538,541,359.313,16258397,7823541,3000,1e-05,,,,,sa-grid,0
