algorithm,instance,dimension,iterations,seed,init,chains,threads,parallel,best_length,final_length,elapsed_ms,accepted_moves,improved_moves,tier,status,log_file,error
sa-omp,gil262,262,1000000,1,nn,64,8,omp,2470,2470,541.074,12656572,6237147,L1,ok,results\logs\large_openmp\gil262_sa_20260622_202859_889130.log,
sa-omp,gil262,262,1000000,2,nn,64,8,omp,2480,2480,383.164,12648073,6228805,L1,ok,results\logs\large_openmp\gil262_sa_20260622_202859_889130.log,
sa-omp,gil262,262,1000000,3,nn,64,8,omp,2485,2485,394.947,12651122,6231636,L1,ok,results\logs\large_openmp\gil262_sa_20260622_202859_889130.log,
qlsa-omp,gil262,262,1000000,1,nn,64,8,omp,2469,2469,979.040,12836692,6254623,L1,ok,results\logs\large_openmp\gil262_qlsa_20260622_202901_343632.log,
qlsa-omp,gil262,262,1000000,2,nn,64,8,omp,2475,2475,966.966,12839979,6254545,L1,ok,results\logs\large_openmp\gil262_qlsa_20260622_202901_343632.log,
qlsa-omp,gil262,262,1000000,3,nn,64,8,omp,2479,2479,926.759,12828279,6255757,L1,ok,results\logs\large_openmp\gil262_qlsa_20260622_202901_343632.log,
sa-omp,a280,280,1000000,1,nn,64,8,omp,2734,2734,457.195,11797274,5815569,L1,ok,results\logs\large_openmp\a280_sa_20260622_202904_298182.log,
sa-omp,a280,280,1000000,2,nn,64,8,omp,2705,2705,389.419,11802226,5820084,L1,ok,results\logs\large_openmp\a280_sa_20260622_202904_298182.log,
sa-omp,a280,280,1000000,3,nn,64,8,omp,2697,2697,396.118,11797284,5816214,L1,ok,results\logs\large_openmp\a280_sa_20260622_202904_298182.log,
qlsa-omp,a280,280,1000000,1,nn,64,8,omp,2696,2696,1026.815,11991303,5857813,L1,ok,results\logs\large_openmp\a280_qlsa_20260622_202905_600359.log,
qlsa-omp,a280,280,1000000,2,nn,64,8,omp,2692,2692,1005.525,11999983,5857026,L1,ok,results\logs\large_openmp\a280_qlsa_20260622_202905_600359.log,
qlsa-omp,a280,280,1000000,3,nn,64,8,omp,2692,2692,746.314,12003203,5859038,L1,ok,results\logs\large_openmp\a280_qlsa_20260622_202905_600359.log,
