algorithm,instance,dimension,iterations,seed,init,chains,threads,parallel,best_length,final_length,elapsed_ms,accepted_moves,improved_moves
qlsa-omp,berlin52,52,1000000,2,nn,64,12,omp,7542,7542,621.628,6552081,3000615
qlsa-omp,berlin52,52,1000000,3,nn,64,12,omp,7542,7542,528.029,6527494,2996893
sa-omp,berlin52,52,1000000,1,nn,64,16,omp,7542,7542,286.782,5937417,2903831
sa-omp,berlin52,52,1000000,2,nn,64,16,omp,7542,7542,330.361,5942034,2906705
sa-omp,berlin52,52,1000000,3,nn,64,16,omp,7542,7542,290.897,5942380,2907670
qlsa-omp,berlin52,52,1000000,1,nn,64,16,omp,7542,7542,588.877,6520938,3001334
qlsa-omp,berlin52,52,1000000,2,nn,64,16,omp,7542,7542,488.377,6552081,3000615
qlsa-omp,berlin52,52,1000000,3,nn,64,16,omp,7542,7542,462.215,6527494,2996893
sa-omp,eil101,101,1000000,1,nn,32,1,omp,636,636,1110.207,8876860,4266196
sa-omp,eil101,101,1000000,2,nn,32,1,omp,635,635,1103.090,8880732,4270027
sa-omp,eil101,101,1000000,3,nn,32,1,omp,640,640,1163.582,8877717,4268589
qlsa-omp,eil101,101,1000000,1,nn,32,1,omp,638,638,2227.930,9046957,4270857
qlsa-omp,eil101,101,1000000,2,nn,32,1,omp,641,641,2176.291,9039680,4268243
qlsa-omp,eil101,101,1000000,3,nn,32,1,omp,637,637,2295.644,9038767,4268720
sa-omp,eil101,101,1000000,1,nn,32,2,omp,636,636,596.539,8876860,4266196
sa-omp,eil101,101,1000000,2,nn,32,2,omp,635,635,588.102,8880732,4270027
sa-omp,eil101,101,1000000,3,nn,32,2,omp,640,640,585.369,8877717,4268589
qlsa-omp,eil101,101,1000000,1,nn,32,2,omp,638,638,1354.474,9046957,4270857
qlsa-omp,eil101,101,1000000,2,nn,32,2,omp,641,641,1229.705,9039680,4268243
qlsa-omp,eil101,101,1000000,3,nn,32,2,omp,637,637,1169.116,9038767,4268720
sa-omp,eil101,101,1000000,1,nn,32,4,omp,636,636,303.882,8876860,4266196
sa-omp,eil101,101,1000000,2,nn,32,4,omp,635,635,307.971,8880732,4270027
sa-omp,eil101,101,1000000,3,nn,32,4,omp,640,640,315.192,8877717,4268589
qlsa-omp,eil101,101,1000000,1,nn,32,4,omp,638,638,648.310,9046957,4270857
qlsa-omp,eil101,101,1000000,2,nn,32,4,omp,641,641,618.222,9039680,4268243
qlsa-omp,eil101,101,1000000,3,nn,32,4,omp,637,637,597.071,9038767,4268720
sa-omp,eil101,101,1000000,1,nn,32,8,omp,636,636,187.993,8876860,4266196
sa-omp,eil101,101,1000000,2,nn,32,8,omp,635,635,181.656,8880732,4270027
sa-omp,eil101,101,1000000,3,nn,32,8,omp,640,640,188.923,8877717,4268589
qlsa-omp,eil101,101,1000000,1,nn,32,8,omp,638,638,378.260,9046957,4270857
qlsa-omp,eil101,101,1000000,2,nn,32,8,omp,641,641,343.882,9039680,4268243
qlsa-omp,eil101,101,1000000,3,nn,32,8,omp,637,637,337.255,9038767,4268720
sa-omp,eil101,101,1000000,1,nn,32,12,omp,636,636,163.031,8876860,4266196
sa-omp,eil101,101,1000000,2,nn,32,12,omp,635,635,159.230,8880732,4270027
sa-omp,eil101,101,1000000,3,nn,32,12,omp,640,640,153.563,8877717,4268589
qlsa-omp,eil101,101,1000000,1,nn,32,12,omp,638,638,343.063,9046957,4270857
qlsa-omp,eil101,101,1000000,2,nn,32,12,omp,641,641,295.139,9039680,4268243
qlsa-omp,eil101,101,1000000,3,nn,32,12,omp,637,637,289.609,9038767,4268720
sa-omp,eil101,101,1000000,1,nn,32,16,omp,636,636,143.055,8876860,4266196
sa-omp,eil101,101,1000000,2,nn,32,16,omp,635,635,145.489,8880732,4270027
sa-omp,eil101,101,1000000,3,nn,32,16,omp,640,640,142.681,8877717,4268589
qlsa-omp,eil101,101,1000000,1,nn,32,16,omp,638,638,269.245,9046957,4270857
qlsa-omp,eil101,101,1000000,2,nn,32,16,omp,641,641,273.248,9039680,4268243
qlsa-omp,eil101,101,1000000,3,nn,32,16,omp,637,637,277.793,9038767,4268720
sa-omp,eil101,101,1000000,1,nn,64,1,omp,636,636,2274.246,17753712,8532903
sa-omp,eil101,101,1000000,2,nn,64,1,omp,635,635,2303.518,17760044,8539799
sa-omp,eil101,101,1000000,3,nn,64,1,omp,640,640,2263.172,17755671,8538336
qlsa-omp,eil101,101,1000000,1,nn,64,1,omp,638,638,4504.239,18085462,8539098
qlsa-omp,eil101,101,1000000,2,nn,64,1,omp,638,638,4718.567,18087706,8538634
qlsa-omp,eil101,101,1000000,3,nn,64,1,omp,637,637,7184.539,18075510,8535986
sa-omp,eil101,101,1000000,1,nn,64,2,omp,636,636,1119.560,17753712,8532903
sa-omp,eil101,101,1000000,2,nn,64,2,omp,635,635,1150.856,17760044,8539799
sa-omp,eil101,101,1000000,3,nn,64,2,omp,640,640,1150.692,17755671,8538336
qlsa-omp,eil101,101,1000000,1,nn,64,2,omp,638,638,2459.122,18085462,8539098
qlsa-omp,eil101,101,1000000,2,nn,64,2,omp,638,638,2480.819,18087706,8538634
qlsa-omp,eil101,101,1000000,3,nn,64,2,omp,637,637,2292.033,18075510,8535986
sa-omp,eil101,101,1000000,1,nn,64,4,omp,636,636,604.834,17753712,8532903
sa-omp,eil101,101,1000000,2,nn,64,4,omp,635,635,611.542,17760044,8539799
sa-omp,eil101,101,1000000,3,nn,64,4,omp,640,640,586.975,17755671,8538336
qlsa-omp,eil101,101,1000000,1,nn,64,4,omp,638,638,1240.318,18085462,8539098
qlsa-omp,eil101,101,1000000,2,nn,64,4,omp,638,638,1295.075,18087706,8538634
qlsa-omp,eil101,101,1000000,3,nn,64,4,omp,637,637,1162.439,18075510,8535986
sa-omp,eil101,101,1000000,1,nn,64,8,omp,636,636,371.922,17753712,8532903
sa-omp,eil101,101,1000000,2,nn,64,8,omp,635,635,378.113,17760044,8539799
sa-omp,eil101,101,1000000,3,nn,64,8,omp,640,640,363.356,17755671,8538336
qlsa-omp,eil101,101,1000000,1,nn,64,8,omp,638,638,906.636,18085462,8539098
qlsa-omp,eil101,101,1000000,2,nn,64,8,omp,638,638,785.145,18087706,8538634
qlsa-omp,eil101,101,1000000,3,nn,64,8,omp,637,637,772.075,18075510,8535986
sa-omp,eil101,101,1000000,1,nn,64,12,omp,636,636,313.329,17753712,8532903
sa-omp,eil101,101,1000000,2,nn,64,12,omp,635,635,300.845,17760044,8539799
sa-omp,eil101,101,1000000,3,nn,64,12,omp,640,640,309.675,17755671,8538336
qlsa-omp,eil101,101,1000000,1,nn,64,12,omp,638,638,697.384,18085462,8539098
qlsa-omp,eil101,101,1000000,2,nn,64,12,omp,638,638,624.336,18087706,8538634
qlsa-omp,eil101,101,1000000,3,nn,64,12,omp,637,637,535.725,18075510,8535986
sa-omp,eil101,101,1000000,1,nn,64,16,omp,636,636,282.596,17753712,8532903
sa-omp,eil101,101,1000000,2,nn,64,16,omp,635,635,288.608,17760044,8539799
sa-omp,eil101,101,1000000,3,nn,64,16,omp,640,640,289.289,17755671,8538336
qlsa-omp,eil101,101,1000000,1,nn,64,16,omp,638,638,625.283,18085462,8539098
qlsa-omp,eil101,101,1000000,2,nn,64,16,omp,638,638,490.751,18087706,8538634
qlsa-omp,eil101,101,1000000,3,nn,64,16,omp,637,637,481.938,18075510,8535986
