instance,algorithm,parallel,chains,threads,iterations,runs,bks,best_length_min,gap_percent,elapsed_ms_mean,elapsed_ms_std,elapsed_ms_best,speedup,parallel_efficiency_percent,accepted_moves_mean,improved_moves_mean
berlin52,qlsa-multichain,none,32,1,1000000,3,7542,7542,0.000000,2179.934333,49.999011,2123.468000,1.000000,,3265619.666667,1499842.000000
berlin52,qlsa-omp,omp,32,8,1000000,3,7542,7542,0.000000,366.554667,41.234192,321.035000,5.947092,74.338650,3265619.666667,1499842.000000
berlin52,qlsa-cuda,cuda,32,128,1000000,3,7542,7542,0.000000,1933.685667,44.778410,1883.503000,1.127347,,3262474.000000,1499581.000000
berlin52,sa-multichain,none,32,1,1000000,3,7542,7542,0.000000,1025.292000,28.247101,1000.578000,1.000000,,2967436.333333,1451913.666667
berlin52,sa-omp,omp,32,8,1000000,3,7542,7542,0.000000,177.578000,6.094597,172.054000,5.773756,72.171947,2967436.333333,1451913.666667
berlin52,sa-cuda,cuda,32,128,1000000,3,7542,7542,0.000000,1032.711667,27.634030,1005.600000,0.992815,,2971177.666667,1454110.666667
