instance,tier,dimension,algorithm,iterations,chains,threads,repeat,bks,best_length_min,gap_min,gap_mean,elapsed_ms_mean,elapsed_ms_std,moves_per_second,accepted_moves_mean,improved_moves_mean
lin318,L2,318,qlsa,1000000,64,8,3,42029,43893,4.4350,4.8435,757.2457,86.3402,84516825.67,1913788.0000,925057.3333
lin318,L2,318,sa,1000000,64,8,3,42029,44218,5.2083,5.3804,364.0500,30.3626,175800027.47,1728067.6667,872685.6667
pcb442,L2,442,qlsa,1000000,64,8,3,50778,54363,7.0601,7.4599,779.8807,124.9509,82063837.12,1978147.0000,957518.3333
pcb442,L2,442,sa,1000000,64,8,3,50778,54036,6.4162,6.8868,371.8647,4.7371,172105622.65,1847099.6667,932489.6667
rat575,L2,575,qlsa,1000000,64,8,3,6773,7418,9.5231,9.8036,837.9607,86.0828,76375899.90,9916059.0000,4909620.6667
rat575,L2,575,sa,1000000,64,8,3,6773,7531,11.1915,11.7575,409.7513,5.1710,156192292.24,9811847.3333,4886852.0000
