instance,algorithm,parallel,chains,threads,iterations,runs,bks,best_length_min,gap_percent,elapsed_ms_mean,elapsed_ms_std,elapsed_ms_best,speedup,parallel_efficiency_percent,accepted_moves_mean,improved_moves_mean
berlin52,qlsa-multichain,none,32,1,1000000,3,7542,7542,0.000000,2204.898667,94.797702,2128.141000,1.000000,,3265619.666667,1499842.000000
berlin52,qlsa-omp,omp,32,8,1000000,3,7542,7542,0.000000,465.329000,47.548122,410.493000,4.738365,59.229563,3265619.666667,1499842.000000
berlin52,qlsa-cuda,cuda,32,128,1000000,3,7542,7542,0.000000,8127.686000,6128.830226,4586.764000,0.271282,,3262474.000000,1499581.000000
berlin52,sa-multichain,none,32,1,1000000,3,7542,7542,0.000000,1067.226000,19.561185,1053.091000,1.000000,,2967436.333333,1451913.666667
berlin52,sa-omp,omp,32,8,1000000,3,7542,7542,0.000000,196.097333,3.431780,193.855000,5.442328,68.029099,2967436.333333,1451913.666667
berlin52,sa-cuda,cuda,32,128,1000000,3,7542,7542,0.000000,3540.676667,2659.074952,1718.682000,0.301419,,2971177.666667,1454110.666667
