condition_id,budget_scheme,instance,requested_backend,actual_backend,algorithm_key,runs,unique_seeds,bks,best_length_min,best_length_mean,best_length_median,best_length_std,best_length_mean_ci_low,best_length_mean_ci_high,gap_percent_mean,gap_percent_median,gap_percent_mean_ci_low,gap_percent_mean_ci_high,bks_hit_count,bks_hit_rate,timing_source,elapsed_ms_mean,elapsed_ms_median,elapsed_ms_std,elapsed_ms_mean_ci_low,elapsed_ms_mean_ci_high,iterations_completed_samples,iterations_completed_mean,iterations_completed_median,iterations_completed_std,deadline_reached_samples,deadline_reached_count,deadline_reached_rate,bootstrap_samples,confidence_level
da6e2b98e8cbe0b28478,equal-iterations,eil76,omp,omp,current,20,20,538,538,541.7,542,2.17884566251,540.8,542.65,0.687732342007,0.743494423792,0.520446096654,0.855018587361,1,0.05,total_elapsed_ms,863.39545,827.345,96.0708994685,825.63859875,906.49571125,20,64000000,64000000,0,20,0,0,10000,0.95
da6e2b98e8cbe0b28478,equal-iterations,eil76,omp,omp,paper,20,20,538,538,541.45,542,1.73129096949,540.7,542.15,0.64126394052,0.743494423792,0.501858736059,0.771375464684,3,0.15,total_elapsed_ms,3460.02385,3418.4145,168.190208909,3393.27802,3536.31613,20,64000000,64000000,0,20,0,0,10000,0.95
da6e2b98e8cbe0b28478,equal-iterations,eil76,omp,omp,paper-sb,20,20,538,538,540.6,540.5,1.87504385914,539.8,541.4,0.483271375465,0.46468401487,0.334572490706,0.631970260223,5,0.25,total_elapsed_ms,4159.35825,4318.2275,259.604084976,4046.78927,4265.73518,20,64000000,64000000,0,20,0,0,10000,0.95
da6e2b98e8cbe0b28478,equal-iterations,eil76,omp,omp,sa,20,20,538,538,540.6,541,1.39170474788,540,541.2,0.483271375465,0.557620817844,0.371747211896,0.585501858736,2,0.1,total_elapsed_ms,413.9274,414.69,13.9074549013,408.28766375,420.22423125,20,64000000,64000000,0,20,0,0,10000,0.95
