instance,algorithm,chains,threads,iterations,runs,bks,best_length_min,gap_percent,elapsed_ms_mean,elapsed_ms_std,speedup,parallel_efficiency_percent,accepted_moves_mean,improved_moves_mean
berlin52,qlsa-omp,8,1,100000,1,7542,7788,3.261734,58.192000,0.000000,1.000000,100.000000,82248.000000,37751.000000
berlin52,qlsa-omp,8,2,100000,1,7542,7788,3.261734,32.530000,0.000000,1.788872,89.443591,82248.000000,37751.000000
berlin52,sa-omp,8,1,100000,1,7542,7542,0.000000,27.629000,0.000000,1.000000,100.000000,75398.000000,37250.000000
berlin52,sa-omp,8,2,100000,1,7542,7542,0.000000,15.865000,0.000000,1.741506,87.075323,75398.000000,37250.000000
