instance,tier,dimension,algorithm,iterations,chains,threads,repeat,bks,best_length_min,gap_min,gap_mean,elapsed_ms_mean,elapsed_ms_std,moves_per_second,accepted_moves_mean,improved_moves_mean
dsj1000,L3,1000,qlsa,100000,64,8,1,18659688,22637057,21.3153,21.3153,119.7570,0.0000,53441552.48,9254.0000,7376.0000
dsj1000,L3,1000,sa,100000,64,8,1,18659688,22894261,22.6937,22.6937,70.4360,0.0000,90862627.07,5756.0000,5660.0000
u1060,L3,1060,qlsa,100000,64,8,1,224094,305725,36.4271,36.4271,123.0820,0.0000,51997855.09,43433.0000,25605.0000
u1060,L3,1060,sa,100000,64,8,1,224094,297320,32.6765,32.6765,62.5300,0.0000,102350871.58,23654.0000,14069.0000
vm1084,L3,1084,qlsa,100000,64,8,1,239297,299276,25.0647,25.0647,111.3020,0.0000,57501212.92,29017.0000,13357.0000
vm1084,L3,1084,sa,100000,64,8,1,239297,301120,25.8353,25.8353,68.1400,0.0000,93924273.55,15554.0000,7571.0000
